2026-02-06 11:39:37,426 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 13, "timestamp": "2026-02-06T08:39:37.426495+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 11:39:40,501 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 7, "timestamp": "2026-02-06T08:39:40.501057+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 11:40:00,783 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 19, "timestamp": "2026-02-06T08:40:00.783650+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 11:48:20,256 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 33, "timestamp": "2026-02-06T08:48:20.256528+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 11:48:35,741 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/api/analytics/", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 13, "timestamp": "2026-02-06T08:48:35.741746+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 12:39:47,315 | ERROR | django_orm_services | Ошибка выполнения SQL: not all arguments converted during string formatting | D:\CursachV2\chepochem_app\django_orm_services.py:38
2026-02-06 12:39:47,316 | ERROR | django_orm_services | Ошибка логирования активности: not all arguments converted during string formatting | D:\CursachV2\chepochem_app\django_orm_services.py:487
2026-02-06 12:40:01,639 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/notifications/", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 500, "duration_ms": 44, "timestamp": "2026-02-06T09:40:01.638398+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 12:46:23,813 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": 1, "username": "admin", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 14, "timestamp": "2026-02-06T09:46:23.813232+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 12:47:21,531 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/edit-profile/", "user_id": 6, "username": "userr", "ip_address": "127.0.0.1", "status_code": 500, "duration_ms": 39, "timestamp": "2026-02-06T09:47:21.531576+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 13:40:57,093 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/edit-profile/", "user_id": 6, "username": "userr", "ip_address": "127.0.0.1", "status_code": 500, "duration_ms": 53, "timestamp": "2026-02-06T10:40:57.093432+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 13:41:00,904 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/edit-profile/", "user_id": 6, "username": "userr", "ip_address": "127.0.0.1", "status_code": 500, "duration_ms": 31, "timestamp": "2026-02-06T10:41:00.903726+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
2026-02-06 14:12:36,263 | INFO | activity_logger | {"type": "api_request", "method": "GET", "path": "/favicon.ico", "user_id": null, "username": "anonymous", "ip_address": "127.0.0.1", "status_code": 404, "duration_ms": 32, "timestamp": "2026-02-06T11:12:36.263667+00:00"} | D:\CursachV2\chepochem_app\activity_logger.py:226
